,YYYY,team,pos,name,birth,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA,salary,key,key_fnl,most_value_fnl,salary_log
0,2022,HEROS,CF,이정후,1998-08-20,9.23,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.441,182.5,6.72,11000,이정후1998-08-20,이정후1998-08-20,CF,9.305650551780507
1,2022,LIONS,LF,피렐라,1989-11-21,7.4,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.434,169.3,4.2,60000,피렐라1989-11-21,피렐라1989-11-21,LF,11.002099841204238
2,2022,TIGERS,RF,나성범,1989-10-03,6.5,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.411,157.4,3.74,200000,나성범1989-10-03,나성범1989-10-03,RF,12.206072645530174
3,2022,TWINS,SS,오지환,1990-03-12,5.77,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,2.56,60000,오지환1990-03-12,오지환1990-03-12,SS,11.002099841204238
4,2022,WYVERNS,3B,최정,1987-02-28,5.15,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.4,145.4,3.72,120000,최정1987-02-28,최정1987-02-28,3B,11.695247021764184
5,2022,EAGLES,CF,터크먼,1990-12-03,4.98,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.795,0.365,126.8,0.8,70000,터크먼1990-12-03,터크먼1990-12-03,CF,11.156250521031495
6,2022,TIGERS,CF,소크라테스,1992-09-06,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.38,137.0,0.61,50000,소크라테스1992-09-06,소크라테스1992-09-06,CF,10.819778284410283
7,2022,TWINS,LF,김현수,1988-01-12,4.88,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,2.7,150000,김현수1988-01-12,김현수1988-01-12,LF,11.918390573078392
8,2022,HEROS,2B,김혜성,1999-01-27,4.8,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.36,123.9,1.26,2900,김혜성1999-01-27,김혜성1999-01-27,2B,7.9724660159745655
9,2022,WYVERNS,CF,최지훈,1997-07-23,4.78,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,1.77,15000,최지훈1997-07-23,최지훈1997-07-23,CF,9.615805480084347
