,YYYY,team,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,salary,salary_log
0,2022,HEROS,안우진,1999-08-30,7.92,30,1,0,30,15,8,0,0,196.0,51,46,766,131,36,4,4,55,1,4,224,1.0,7.0,2.11,2.21,0.95,189.3,179.1,5.65,2700.0,7.90100705199242
1,2022,WYVERNS,김광현,1988-07-22,6.1,28,0,0,28,13,3,0,0,173.1,48,41,694,141,16,2,10,45,2,5,153,0.0,1.0,2.13,3.15,1.07,195.5,132.7,3.63,150000.0,11.918390573078392
2,2022,LIONS,수아레즈,1989-10-08,5.28,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19,0,7,50,0,4,159,0.0,6.0,2.49,2.96,1.16,167.8,138.0,2.7,70000.0,11.156250521031495
3,2022,TWINS,켈리,1989-10-04,5.19,27,0,0,27,16,4,0,0,166.1,50,47,664,144,10,4,10,35,0,2,153,0.0,3.0,2.54,2.95,1.08,156.3,134.7,3.45,90000.0,11.407564949312402
4,2022,WYVERNS,폰트,1990-05-24,5.19,28,1,0,28,13,6,0,0,184.0,63,55,729,141,22,3,18,34,1,6,170,0.0,5.0,2.69,3.4,0.95,154.7,124.1,2.91,110000.0,11.608235644774552
5,2022,TWINS,플럿코,1991-10-03,4.79,28,0,0,28,15,5,0,0,162.0,53,43,644,125,18,2,13,38,2,2,149,0.0,6.0,2.39,3.25,1.01,166.4,121.6,2.44,50000.0,10.819778284410283
6,2022,TIGERS,고영표,1991-09-16,4.5,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0.0,1.0,3.26,2.75,1.17,126.4,148.2,2.38,30000.0,10.308952660644293
7,2022,DYNOS,루친스키,1988-12-30,4.38,31,0,0,31,10,12,0,0,193.2,77,64,797,184,34,2,14,34,1,8,194,0.0,9.0,2.97,2.91,1.13,136.9,140.9,2.8,160000.0,11.982929094215963
8,2022,TIGERS,소형준,2001-09-16,4.28,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16,6,8,39,1,5,117,0.0,6.0,3.05,3.33,1.15,135.2,122.3,1.41,20000.0,9.903487552536127
9,2022,TIGERS,김민수,1992-07-24,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0.0,6.0,1.9,2.24,1.0,217.1,182.9,2.33,11500.0,9.350102314351341
10,2022,DYNOS,구창모,1997-02-17,3.96,19,0,0,19,11,5,0,0,111.2,32,26,451,92,16,0,7,29,0,4,108,0.0,7.0,2.1,3.11,1.08,194.4,132.0,2.49,19000.0,9.852194258148577
11,2022,LIONS,뷰캐넌,1989-05-11,3.8,26,1,1,26,11,8,0,0,160.0,61,54,691,176,28,2,10,39,0,8,117,0.0,2.0,3.04,3.57,1.34,137.4,115.2,1.83,110000.0,11.608235644774552
12,2022,TWINS,고우석,1998-08-06,3.71,61,0,0,0,4,2,42,0,60.2,12,10,240,37,7,1,6,21,4,1,80,0.0,5.0,1.48,2.88,0.96,267.9,136.1,3.49,27000.0,10.203592144986466
13,2022,TIGERS,놀린,1989-12-26,3.49,21,0,0,21,8,8,0,0,124.0,41,34,512,115,19,2,7,24,1,8,108,1.0,4.0,2.47,3.08,1.12,165.2,133.0,1.79,35000.0,10.46310334047155
14,2022,TIGERS,엄상백,1996-10-04,3.31,33,0,0,22,11,2,0,0,140.1,52,46,581,125,24,2,14,46,0,4,139,0.0,1.0,2.95,3.72,1.22,139.6,109.6,1.7,8000.0,8.987196820661973
15,2022,GIANTS,반즈,1995-10-01,3.01,31,0,0,31,12,12,0,0,186.1,87,75,788,175,27,5,8,47,1,18,160,0.0,7.0,3.62,3.21,1.19,114.9,127.4,0.56,46538.0,10.748024462146892
16,2022,DYNOS,이용찬,1989-01-02,2.93,59,0,0,0,3,3,22,0,60.2,16,14,253,56,6,1,3,13,0,3,61,0.0,1.0,2.08,2.76,1.14,196.1,148.2,2.45,40000.0,10.596634733096073
17,2022,LIONS,원태인,2000-04-06,2.52,27,0,0,27,10,8,0,0,165.1,75,72,700,175,25,1,16,38,3,4,130,0.0,3.0,3.92,3.73,1.29,106.5,111.1,0.74,30000.0,10.308952660644293
18,2022,WYVERNS,노경은,1984-03-11,2.43,41,0,0,8,12,5,1,7,79.2,28,27,323,69,10,0,5,23,0,4,55,0.0,5.0,3.05,3.79,1.16,136.5,110.0,1.21,10000.0,9.210340371976184
19,2022,GIANTS,구승민,1990-06-12,2.42,73,0,0,0,2,4,0,25,62.0,20,20,263,46,8,1,3,35,4,1,77,0.0,7.0,2.9,3.03,1.31,143.4,135.2,1.07,18100.0,9.803667217253917
20,2022,EAGLES,장민재,1990-03-19,2.38,32,0,0,25,7,8,0,0,126.2,54,50,531,124,18,2,15,39,1,4,75,0.0,3.0,3.55,4.69,1.29,114.0,87.0,0.64,7600.0,8.935903526274423
21,2022,BEARS,곽빈,1999-05-28,2.36,27,0,0,27,8,9,0,0,147.2,69,62,645,143,30,0,13,60,1,11,138,1.0,9.0,3.78,4.04,1.38,105.3,98.3,0.45,6500.0,8.779557455883728
22,2022,TIGERS,김재윤,1990-09-16,2.32,61,0,0,0,9,7,33,0,66.1,26,24,267,46,6,0,5,21,6,0,78,1.0,2.0,3.26,2.65,1.01,126.5,155.1,0.57,28000.0,10.239959789157341
23,2022,TWINS,정우영,1999-08-19,2.17,67,0,0,0,2,3,0,35,58.0,18,17,248,48,3,2,3,32,5,6,40,0.0,0.0,2.64,4.34,1.38,150.7,92.9,1.79,28000.0,10.239959789157341
24,2022,TWINS,김윤식,2000-04-03,2.13,23,0,0,23,8,5,0,0,114.1,46,42,483,125,22,1,5,27,2,1,81,0.0,4.0,3.31,3.17,1.33,120.2,126.4,1.2,7000.0,8.85366542803745
25,2022,DYNOS,원종현,1987-07-31,2.02,68,0,0,0,5,0,1,13,63.1,22,21,260,55,8,0,5,17,0,1,50,0.0,2.0,2.98,3.64,1.14,136.5,112.8,0.11,27000.0,10.203592144986466
26,2022,WYVERNS,이태양,1990-07-03,2.01,30,0,0,17,8,3,0,1,112.0,50,45,472,116,18,0,15,24,2,5,61,0.0,0.0,3.62,4.71,1.25,115.1,88.9,0.86,12000.0,9.392661928770137
27,2022,EAGLES,김민우,1995-07-25,1.99,29,1,0,29,6,11,0,0,163.0,82,79,711,143,40,1,16,84,8,8,129,0.0,13.0,4.36,4.58,1.39,92.8,89.1,0.53,19100.0,9.857443614034722
28,2022,GIANTS,나균안,1998-03-16,1.94,39,0,0,13,3,8,0,2,117.2,55,52,506,125,36,3,5,37,1,3,123,0.0,6.0,3.98,2.79,1.38,104.7,146.6,-0.72,5800.0,8.66561319653451
29,2022,DYNOS,김시훈,1999-02-24,1.88,59,0,0,7,4,5,0,11,83.1,35,30,365,75,10,0,7,43,0,4,79,1.0,2.0,3.24,4.23,1.42,125.7,97.2,0.44,3000.0,8.006367567650246
30,2022,GIANTS,박세웅,1995-11-30,1.87,28,0,0,28,10,11,0,0,157.1,80,66,679,180,32,4,8,32,1,8,146,0.0,7.0,3.78,2.89,1.35,110.3,141.6,-0.14,26000.0,10.165851817003619
31,2022,DYNOS,김영규,2000-02-10,1.84,72,0,0,0,2,7,1,13,66.0,26,25,269,56,8,2,5,22,4,7,46,0.0,3.0,3.41,4.07,1.18,119.5,101.0,0.03,9500.0,9.159047077588632
32,2022,GIANTS,스트레일리,1988-12-01,1.82,11,0,0,11,4,2,0,0,62.1,24,16,260,54,8,0,5,22,0,6,55,0.0,2.0,2.31,3.96,1.22,180.2,102.8,0.64,50000.0,10.819778284410283
