birth_name,year,salary,WAR
['1965-05-02 || 호세'],2001,,7.889
['1965-05-02 || 호세'],2006,,4.469
['1965-05-02 || 호세'],2007,,0.096
['1968-10-27 || 김동수'],1991,,0.863
['1968-10-27 || 김동수'],1992,,4.002
['1968-10-27 || 김동수'],1993,,5.484
['1968-10-27 || 김동수'],1994,,4.158
['1968-10-27 || 김동수'],1995,,3.466
['1968-10-27 || 김동수'],1996,,2.734
['1968-10-27 || 김동수'],1997,"8,300",3.766
['1968-10-27 || 김동수'],1998,"10,000",5.501
['1968-10-27 || 김동수'],1999,"12,500",3.668
['1968-10-27 || 김동수'],2000,"15,000",1.268
['1968-10-27 || 김동수'],2001,"17,000",1.413
['1968-10-27 || 김동수'],2002,"18,750",1.759
['1968-10-27 || 김동수'],2003,"10,000",4.266
['1968-10-27 || 김동수'],2004,"20,000",1.372
['1968-10-27 || 김동수'],2005,"20,000",0.832
['1968-10-27 || 김동수'],2006,"20,000",2.605
['1968-10-27 || 김동수'],2007,"30,000",1.732
['1968-10-27 || 김동수'],2008,"8,000",0.686
['1968-10-27 || 김동수'],2009,"13,000",1.012
['1969-02-15 || 전준호'],1992,,4.581
['1969-02-15 || 전준호'],1993,,4.071
['1969-02-15 || 전준호'],1994,,2.355
['1969-02-15 || 전준호'],1995,,5.777
['1969-02-15 || 전준호'],1996,,2.013
['1969-02-15 || 전준호'],1997,"7,000",1.095
['1969-02-15 || 전준호'],1998,"6,650",4.266
['1969-02-15 || 전준호'],1999,"3,200",1.77
['1969-02-15 || 전준호'],2000,"3,200",2.3
['1969-02-15 || 전준호'],2001,"13,000",3.551
['1969-02-15 || 전준호'],2002,"6,900",3.234
['1969-02-15 || 전준호'],2003,"5,500",2.633
['1969-02-15 || 전준호'],2004,"7,500",4.237
['1969-02-15 || 전준호'],2005,"10,000",0.911
['1969-02-15 || 전준호'],2006,"7,500",1.254
['1969-02-15 || 전준호'],2007,"13,000",1.708
['1969-02-15 || 전준호'],2008,"11,000",2.184
['1969-02-15 || 전준호'],2009,"13,000",-0.243
['1969-05-26 || 양준혁'],1994,,4.223
['1969-05-26 || 양준혁'],1995,,6.679
['1969-05-26 || 양준혁'],1996,,8.561
['1969-05-26 || 양준혁'],1997,"12,000",8.171
['1969-05-26 || 양준혁'],1998,"14,000",6.198
['1969-05-26 || 양준혁'],1999,"14,000",4.706
['1969-05-26 || 양준혁'],2000,"20,000",4.028
['1969-05-26 || 양준혁'],2001,"27,000",4.788
['1969-05-26 || 양준혁'],2002,"33,000",2.366
['1969-05-26 || 양준혁'],2003,"33,000",6.208
['1969-05-26 || 양준혁'],2004,"33,000",6.366
['1969-05-26 || 양준혁'],2005,"33,000",1.791
['1969-05-26 || 양준혁'],2006,"40,000",5.446
['1969-05-26 || 양준혁'],2007,"40,000",6.718
['1969-05-26 || 양준혁'],2008,"70,000",1.397
['1969-05-26 || 양준혁'],2009,"70,000",2.707
['1969-05-26 || 양준혁'],2010,"45,000",0.02
['1969-06-04 || 페레즈'],2004,,3.092
['1969-06-04 || 페레즈'],2007,,0.782
['1969-08-02 || 구대성'],1994,,4.448
['1969-08-02 || 구대성'],1995,,2.639
['1969-08-02 || 구대성'],1996,,9.147
['1969-08-02 || 구대성'],1997,"9,300",5.019
['1969-08-02 || 구대성'],1998,"9,300",5.294
['1969-08-02 || 구대성'],1999,"10,500",5.548
['1969-08-02 || 구대성'],2000,"14,000",5.48
['1969-08-02 || 구대성'],2006,"14,000",4.051
['1969-08-02 || 구대성'],2007,"63,000",1.566
['1969-08-02 || 구대성'],2008,"47,000",1.072
['1969-08-02 || 구대성'],2009,"30,000",1.541
['1969-08-02 || 구대성'],2010,"20,000",-0.164
['1969-10-01 || 가득염'],1993,,1.041
['1969-10-01 || 가득염'],1994,,2.186
['1969-10-01 || 가득염'],1995,,1.268
['1969-10-01 || 가득염'],1996,,0.087
['1969-10-01 || 가득염'],1997,"4,390",0.317
['1969-10-01 || 가득염'],1998,"4,000",0.719
['1969-10-01 || 가득염'],1999,"4,000",0.952
['1969-10-01 || 가득염'],2000,"4,700",0.347
['1969-10-01 || 가득염'],2001,"4,800",1.052
