key,year,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,team,salary
1979-07-31밴헤켄2014,2014,밴헤켄,1979-07-31,6.92,31,0,0,31,20,6,0,0,187,81,73,788,193,33,5,9,53,0,3,178,2,6,3.51,3.48,1.32,150.1,152.1,6.92,넥,35000
1985-05-22밴덴헐크2014,2014,밴덴헐크,1985-05-22,6,25,1,0,25,13,4,0,0,152.2,54,54,622,125,30,1,15,45,0,5,180,0,4,3.18,3.76,1.11,166.1,139.7,6,삼,12409
1988-07-22김광현2014,2014,김광현,1988-07-22,5.2,28,1,0,28,13,9,0,0,173.2,77,66,749,178,36,4,10,81,1,3,145,1,9,3.42,4.37,1.49,149.2,118.8,5.2,S,27000
1981-05-06니퍼트2014,2014,니퍼트,1981-05-06,5.03,30,1,0,28,14,7,0,1,179.1,83,76,760,186,20,1,17,48,0,6,158,0,10,3.81,4.23,1.31,129.7,118.7,5.03,두,38700
1988-03-01양현종2014,2014,양현종,1988-03-01,4.99,29,0,0,29,16,8,0,0,171.1,85,81,732,162,30,6,12,77,1,4,165,0,5,4.25,4.24,1.4,122.7,125.1,4.99,K,12000
1977-05-13옥스프링2014,2014,옥스프링,1977-05-13,4.79,32,0,0,31,10,8,0,0,184.1,93,86,781,184,48,1,20,63,1,5,130,0,1,4.2,4.95,1.34,129.8,107.8,4.79,롯,25000
1981-10-08윤성환2014,2014,윤성환,1981-10-08,4.67,28,1,1,28,12,7,0,0,170.1,87,83,728,196,30,4,18,37,0,8,133,0,4,4.39,4.46,1.37,120.6,118.4,4.67,삼,45000
1983-03-26해커2014,2014,해커,1983-03-26,4.31,30,1,0,29,8,8,0,0,172.2,86,78,749,169,22,2,14,62,0,14,112,0,5,4.07,4.93,1.34,128,107,4.31,N,30000
1986-05-25리오단2014,2014,리오단,1986-05-25,4.14,28,2,1,28,9,10,0,0,168,80,74,707,177,32,5,13,37,1,10,77,0,8,3.96,4.77,1.27,124.9,106.3,4.14,L,12409
1985-01-21우규민2014,2014,우규민,1985-01-21,3.96,29,0,0,28,11,5,0,0,153.2,78,69,653,170,18,5,11,34,1,12,103,0,2,4.04,4.32,1.33,122.5,117.3,3.96,L,18000
1990-10-04이재학2014,2014,이재학,1990-10-04,3.8,29,1,0,28,10,9,0,0,156,77,73,668,152,28,2,16,68,0,8,131,0,2,4.21,4.97,1.41,123.6,106.2,3.8,N,12500
1985-10-25찰리2014,2014,찰리,1985-10-25,3.77,28,1,1,28,12,8,0,0,165.1,90,70,718,184,31,0,13,55,0,9,92,2,5,3.81,4.93,1.45,136.6,107.1,3.77,N,30000
1985-07-31장원준2014,2014,장원준,1985-07-31,3.55,27,0,0,27,10,9,0,0,155,87,79,674,160,27,6,15,67,1,3,107,0,9,4.59,5.07,1.47,118.8,105,3.55,롯,32000
1983-01-02마틴2014,2014,마틴,1983-01-02,3.54,23,0,0,22,9,6,0,0,128,69,68,562,148,36,0,10,31,1,7,84,2,2,4.78,4.43,1.4,110.6,119.3,3.54,삼,12409
1986-06-01유희관2014,2014,유희관,1986-06-01,3.28,30,1,0,30,12,9,0,0,177.1,98,87,779,202,41,6,21,51,0,8,112,0,5,4.42,5.13,1.43,112,97.5,3.28,두,10000
1994-09-04조상우2014,2014,조상우,1994-09-04,3.15,48,0,0,0,6,2,0,11,69.1,21,19,280,53,9,0,2,29,0,3,73,1,6,2.47,3.51,1.18,213.8,149.7,3.15,넥,2800
1993-06-25한현희2014,2014,한현희,1993-06-25,3,66,0,0,0,4,2,2,31,78.2,30,28,342,75,9,1,6,31,1,4,83,0,2,3.2,4.03,1.35,164.6,131.8,3,넥,12500
1981-05-04배영수2014,2014,배영수,1981-05-04,2.8,25,1,0,24,8,6,0,0,133.2,87,81,597,171,39,7,14,39,1,5,111,1,4,5.45,4.52,1.57,97,116.8,2.8,삼,55000
1985-07-28소사2014,2014,소사,1985-07-28,2.79,20,0,0,20,10,2,0,0,125,66,64,537,140,22,2,18,45,0,3,98,0,3,4.61,5.31,1.48,114.4,101.1,2.79,넥,12409
1983-06-09장원삼2014,2014,장원삼,1983-06-09,2.66,24,0,0,24,11,5,0,0,129.1,70,59,562,149,33,2,16,37,0,5,63,0,6,4.11,5.46,1.44,128.8,97,2.66,삼,75000
1980-07-15봉중근2014,2014,봉중근,1980-07-15,2.59,50,0,0,0,2,4,30,0,49.2,16,16,216,51,7,0,2,17,2,4,45,0,6,2.9,3.71,1.37,170.8,138.2,2.59,L,45000
1984-09-28웨버2014,2014,웨버,1984-09-28,2.57,24,0,0,23,9,6,0,0,118,66,60,512,132,25,0,13,42,0,3,85,2,5,4.58,4.99,1.48,113.7,105.8,2.57,N,12409
1985-10-06앨버스2014,2014,앨버스,1985-10-06,2.56,28,1,1,28,6,13,0,0,151.1,108,99,673,200,35,7,18,40,0,4,107,0,9,5.89,4.86,1.59,92.1,108.8,2.56,한,12409
1983-05-30류제국2014,2014,류제국,1983-05-30,2.31,27,0,0,27,9,7,0,0,147.2,100,84,661,146,29,6,13,58,3,13,128,0,9,5.12,4.65,1.38,96.7,108.5,2.31,L,18000
