birth||name,year||team,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA
1999-08-30 || 안우진,22키,7.92,30,1,0,30,15,8,0,0,196,51,46,766,131,36,4,4,55,1,4,224,1,7,2.11,2.21,0.95,189.3,179.1,5.65
1988-07-22 || 김광현,22S,6.1,28,0,0,28,13,3,0,0,173.1,48,41,694,141,16,2,10,45,2,5,153,0,1,2.13,3.15,1.07,195.5,132.7,3.63
1989-07-29 || 요키시,22키,5.68,30,0,0,30,10,8,0,0,185.1,61,53,746,169,31,3,8,33,0,5,154,0,2,2.57,2.85,1.09,155.4,138.8,3.57
1989-10-08 || 수아레즈,22삼,5.28,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19,0,7,50,0,4,159,0,6,2.49,2.96,1.16,167.8,138,2.7
1989-10-04 || 켈리,22L,5.19,27,0,0,27,16,4,0,0,166.1,50,47,664,144,10,4,10,35,0,2,153,0,3,2.54,2.95,1.08,156.3,134.7,3.45
1990-05-24 || 폰트,22S,5.19,28,1,0,28,13,6,0,0,184,63,55,729,141,22,3,18,34,1,6,170,0,5,2.69,3.4,0.95,154.7,124.1,2.91
1991-10-03 || 플럿코,22L,4.79,28,0,0,28,15,5,0,0,162,53,43,644,125,18,2,13,38,2,2,149,0,6,2.39,3.25,1.01,166.4,121.6,2.44
1991-09-16 || 고영표,22K,4.5,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0,1,3.26,2.75,1.17,126.4,148.2,2.38
1988-12-30 || 루친스키,22N,4.38,31,0,0,31,10,12,0,0,193.2,77,64,797,184,34,2,14,34,1,8,194,0,9,2.97,2.91,1.13,136.9,140.9,2.8
2001-09-16 || 소형준,22K,4.28,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16,6,8,39,1,5,117,0,6,3.05,3.33,1.15,135.2,122.3,1.41
1992-07-24 || 김민수,22K,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1,217.1,182.9,2.33
1997-02-17 || 구창모,22N,3.96,19,0,0,19,11,5,0,0,111.2,32,26,451,92,16,0,7,29,0,4,108,0,7,2.1,3.11,1.08,194.4,132,2.49
1989-05-11 || 뷰캐넌,22삼,3.8,26,1,1,26,11,8,0,0,160,61,54,691,176,28,2,10,39,0,8,117,0,2,3.04,3.57,1.34,137.4,115.2,1.83
1998-08-06 || 고우석,22L,3.71,61,0,0,0,4,2,42,0,60.2,12,10,240,37,7,1,6,21,4,1,80,0,5,1.48,2.88,0.96,267.9,136.1,3.49
1998-10-22 || 김재웅,22키,3.62,65,0,0,0,3,2,13,27,62.2,14,14,254,39,8,1,4,29,2,4,56,0,4,2.01,3.87,1.09,198.9,102.3,3.51
1989-12-26 || 놀린,22K,3.49,21,0,0,21,8,8,0,0,124,41,34,512,115,19,2,7,24,1,8,108,1,4,2.47,3.08,1.12,165.2,133,1.79
1996-10-04 || 엄상백,22K,3.31,33,0,0,22,11,2,0,0,140.1,52,46,581,125,24,2,14,46,0,4,139,0,1,2.95,3.72,1.22,139.6,109.6,1.7
1992-11-20 || 모리만도,22S,3.12,12,0,0,12,7,1,0,0,75.1,19,14,304,57,8,0,2,23,0,4,67,0,2,1.67,2.98,1.06,248.9,139.8,2.28
1995-10-01 || 반즈,22롯,3.01,31,0,0,31,12,12,0,0,186.1,87,75,788,175,27,5,8,47,1,18,160,0,7,3.62,3.21,1.19,114.9,127.4,0.56
1989-01-02 || 이용찬,22N,2.93,59,0,0,0,3,3,22,0,60.2,16,14,253,56,6,1,3,13,0,3,61,0,1,2.08,2.76,1.14,196.1,148.2,2.45
1993-07-26 || 벤자민,22K,2.53,17,0,0,17,5,4,0,0,96.2,34,29,385,75,9,1,11,24,2,4,77,1,3,2.7,4.03,1.02,152.5,101.2,1.07
2000-04-06 || 원태인,22삼,2.52,27,0,0,27,10,8,0,0,165.1,75,72,700,175,25,1,16,38,3,4,130,0,3,3.92,3.73,1.29,106.5,111.1,0.74
1999-03-27 || 정철원,22두,2.51,58,0,0,0,4,3,3,23,72.2,26,25,294,60,12,2,4,26,2,2,47,0,7,3.1,3.83,1.18,128.5,104.6,1.1
1984-03-11 || 노경은,22S,2.43,41,0,0,8,12,5,1,7,79.2,28,27,323,69,10,0,5,23,0,4,55,0,5,3.05,3.79,1.16,136.5,110,1.21
1990-06-12 || 구승민,22롯,2.42,73,0,0,0,2,4,0,25,62,20,20,263,46,8,1,3,35,4,1,77,0,7,2.9,3.03,1.31,143.4,135.2,1.07
1990-03-19 || 장민재,22한,2.38,32,0,0,25,7,8,0,0,126.2,54,50,531,124,18,2,15,39,1,4,75,0,3,3.55,4.69,1.29,114,87,0.64
1999-05-28 || 곽빈,22두,2.36,27,0,0,27,8,9,0,0,147.2,69,62,645,143,30,0,13,60,1,11,138,1,9,3.78,4.04,1.38,105.3,98.3,0.45
1990-09-16 || 김재윤,22K,2.32,61,0,0,0,9,7,33,0,66.1,26,24,267,46,6,0,5,21,6,0,78,1,2,3.26,2.65,1.01,126.5,155.1,0.57
1999-08-19 || 정우영,22L,2.17,67,0,0,0,2,3,0,35,58,18,17,248,48,3,2,3,32,5,6,40,0,0,2.64,4.34,1.38,150.7,92.9,1.79
2000-04-03 || 김윤식,22L,2.13,23,0,0,23,8,5,0,0,114.1,46,42,483,125,22,1,5,27,2,1,81,0,4,3.31,3.17,1.33,120.2,126.4,1.2
1987-07-31 || 원종현,22N,2.02,68,0,0,0,5,0,1,13,63.1,22,21,260,55,8,0,5,17,0,1,50,0,2,2.98,3.64,1.14,136.5,112.8,0.11
