birth||name,year,salary,WAR
['1965-05-02 || 호세'],2001,,7.889
['1965-05-02 || 호세'],2006,,4.469
['1965-05-02 || 호세'],2007,,0.096
['1968-10-27 || 김동수'],1991,,0.863
['1968-10-27 || 김동수'],1992,,4.002
['1968-10-27 || 김동수'],1993,,5.484
['1968-10-27 || 김동수'],1994,,4.158
['1968-10-27 || 김동수'],1995,,3.466
['1968-10-27 || 김동수'],1996,,2.734
['1968-10-27 || 김동수'],1997,"8,300",3.766
['1968-10-27 || 김동수'],1998,"10,000",5.501
['1968-10-27 || 김동수'],1999,"12,500",3.668
['1968-10-27 || 김동수'],2000,"15,000",1.268
['1968-10-27 || 김동수'],2001,"17,000",1.413
['1968-10-27 || 김동수'],2002,"18,750",1.759
['1968-10-27 || 김동수'],2003,"10,000",4.266
['1968-10-27 || 김동수'],2004,"20,000",1.372
['1968-10-27 || 김동수'],2005,"20,000",0.832
['1968-10-27 || 김동수'],2006,"20,000",2.605
['1968-10-27 || 김동수'],2007,"30,000",1.732
['1968-10-27 || 김동수'],2008,"8,000",0.686
['1968-10-27 || 김동수'],2009,"13,000",1.012
['1969-02-15 || 전준호'],1992,,4.581
['1969-02-15 || 전준호'],1993,,4.071
['1969-02-15 || 전준호'],1994,,2.355
['1969-02-15 || 전준호'],1995,,5.777
['1969-02-15 || 전준호'],1996,,2.013
['1969-02-15 || 전준호'],1997,"7,000",1.095
['1969-02-15 || 전준호'],1998,"6,650",4.266
['1969-02-15 || 전준호'],1999,"3,200",1.77
['1969-02-15 || 전준호'],2000,"3,200",2.3
['1969-02-15 || 전준호'],2001,"13,000",3.551
['1969-02-15 || 전준호'],2002,"6,900",3.234
['1969-02-15 || 전준호'],2003,"5,500",2.633
['1969-02-15 || 전준호'],2004,"7,500",4.237
['1969-02-15 || 전준호'],2005,"10,000",0.911
['1969-02-15 || 전준호'],2006,"7,500",1.254
['1969-02-15 || 전준호'],2007,"13,000",1.708
['1969-02-15 || 전준호'],2008,"11,000",2.184
['1969-02-15 || 전준호'],2009,"13,000",-0.243
['1969-05-26 || 양준혁'],1994,,4.223
['1969-05-26 || 양준혁'],1995,,6.679
['1969-05-26 || 양준혁'],1996,,8.561
