name,birth,debut,career
호세,1965-05-02,1999,4
송진우,1966-02-16,1989,21
김동수,1968-10-27,1990,20
다카쓰,1968-11-25,2008,1
전준호,1969-02-15,1991,19
양준혁,1969-05-26,1993,18
페레즈,1969-06-04,2003,3
장원진,1969-06-15,1992,15
구대성,1969-08-02,1993,13
가득염,1969-10-01,1992,19
안경현,1970-02-13,1992,19
정민태,1970-03-01,1992,15
김정민,1970-03-15,1993,16
서튼,1970-05-14,2005,3
마해영,1970-08-14,1995,14
이종범,1970-08-15,1993,16
이숭용,1971-03-10,1994,18
조웅천,1971-03-17,1990,19
최향남,1971-03-28,1990,15
최상덕,1971-03-31,1994,15
조원우,1971-04-08,1994,15
이상목,1971-04-25,1990,17
페타지니,1971-06-02,2008,2
김인철,1971-07-14,1990,7
하리칼라,1971-07-15,2005,3
김태균,1971-08-19,1994,14
최동수,1971-09-11,1994,19
류택현,1971-10-23,1994,20
김한수,1971-10-30,1994,14
권준헌,1971-12-01,2000,8
김종훈,1972-01-29,1994,14
로마노,1972-03-03,2007,1
카브레라,1972-03-24,2004,4
정민철,1972-03-28,1992,16
문동환,1972-05-08,1997,10
최경환,1972-05-12,2000,10
전상렬,1972-06-12,1992,16
김원형,1972-07-05,1991,20
박경완,1972-07-11,1991,23
박석진,1972-07-19,1995,13
조경환,1972-08-27,1998,10
김재걸,1972-09-07,1995,13
로드리게스,1972-09-09,2007,1
박현승,1972-09-12,1995,13
리마,1972-09-30,2008,1
리오스,1972-10-13,2007,1
심재학,1972-10-18,1995,14
리오스,1972-11-11,2002,6
쿠비얀,1972-11-15,2008,1
김민재,1973-01-03,1991,19
레스,1973-01-10,2001,4
이종열,1973-01-28,1991,18
크루즈,1973-01-28,2007,2
안상준,1973-02-13,1995,13
송지만,1973-03-02,1996,18
니코스키,1973-03-09,2009,2
카도쿠라,1973-03-09,2009,3
최원호,1973-03-13,1996,14
염종석,1973-03-20,1992,16
전병호,1973-03-23,1996,12
서한규,1973-03-28,1998,9
조성민,1973-04-05,2005,3
김대익,1973-06-03,1996,12
홍원기,1973-06-05,1996,12
김민범,1973-06-07,1994,10
최기문,1973-06-10,1996,13
발데스,1973-06-29,2007,1
박찬호,1973-06-30,2012,1
김창희,1973-07-03,1997,13
박종호,1973-07-27,1992,17
박재홍,1973-09-07,1996,17
김종국,1973-09-14,1996,14
코르테스,1973-10-15,2008,1
코리,1973-10-21,2011,1
