birth||name,year,salary,WAR
['1966-02-16 || 송진우'],1990,,8.117
['1966-02-16 || 송진우'],1991,,5.69
['1966-02-16 || 송진우'],1992,,5.801
['1966-02-16 || 송진우'],1993,,0.686
['1966-02-16 || 송진우'],1994,,1.747
['1966-02-16 || 송진우'],1995,,3.503
['1966-02-16 || 송진우'],1996,,4.401
['1966-02-16 || 송진우'],1997,"10,000",1.309
['1966-02-16 || 송진우'],1998,"9,000",0.878
['1966-02-16 || 송진우'],1999,"8,100",4.632
['1966-02-16 || 송진우'],2000,"13,500",3.239
['1966-02-16 || 송진우'],2001,"13,500",4.047
['1966-02-16 || 송진우'],2002,"13,500",7.17
['1966-02-16 || 송진우'],2003,"30,000",4.429
['1966-02-16 || 송진우'],2004,"30,000",4.324
['1966-02-16 || 송진우'],2005,"30,000",2.819
['1966-02-16 || 송진우'],2006,"30,000",2.876
['1966-02-16 || 송진우'],2007,"30,000",0.51
['1966-02-16 || 송진우'],2008,"24,000",1.683
['1966-02-16 || 송진우'],2009,"20,000",-0.1
['1969-08-02 || 구대성'],1994,,4.448
['1969-08-02 || 구대성'],1995,,2.639
['1969-08-02 || 구대성'],1996,,9.147
['1969-08-02 || 구대성'],1997,"9,300",5.019
['1969-08-02 || 구대성'],1998,"9,300",5.294
['1969-08-02 || 구대성'],1999,"10,500",5.548
['1969-08-02 || 구대성'],2000,"14,000",5.48
['1969-08-02 || 구대성'],2006,"14,000",4.051
['1969-08-02 || 구대성'],2007,"63,000",1.566
['1969-08-02 || 구대성'],2008,"47,000",1.072
['1969-08-02 || 구대성'],2009,"30,000",1.541
['1969-08-02 || 구대성'],2010,"20,000",-0.164
['1969-10-01 || 가득염'],1993,,1.041
['1969-10-01 || 가득염'],1994,,2.186
['1969-10-01 || 가득염'],1995,,1.268
['1969-10-01 || 가득염'],1996,,0.087
['1969-10-01 || 가득염'],1997,"4,390",0.317
['1969-10-01 || 가득염'],1998,"4,000",0.719
['1969-10-01 || 가득염'],1999,"4,000",0.952
['1969-10-01 || 가득염'],2000,"4,700",0.347
['1969-10-01 || 가득염'],2001,"4,800",1.052
['1969-10-01 || 가득염'],2002,"5,500",-0.058
['1969-10-01 || 가득염'],2003,"5,700",0.486
['1969-10-01 || 가득염'],2004,"8,000",0.63
['1969-10-01 || 가득염'],2005,"8,000",0.653
['1969-10-01 || 가득염'],2006,"8,000",0.274
